,Africa Eltis,Africa Richardson,Africa spliced,America Galenson,America Eltis et al,America spliced,Markup
1715,,2.1,2.1,21.59,21.95,21.95,10.452380952381
1716,,5,5,,18.4491060985798,18.4491060985798,3.68982121971596
1717,,5.9,5.9,,,,
1718,,3.6,3.6,,,,
1719,,4.5,4.5,14.18,15.8993167701863,15.8993167701863,3.53318150448585
1720,,5.2,5.2,,,,
1721,,5.4,5.4,,27.7125292397661,27.7125292397661,5.13194985921594
1722,,6.9,6.9,,,,
1723,,5.4,5.4,20.79,22.5238427787934,22.5238427787934,4.17108199607285
1724,,6.5,6.5,,27.6444727891156,27.6444727891156,4.2529958137101
1725,,6,6,,25.6964658634538,25.6964658634538,4.28274431057564
1726,,5.7,5.7,,,,
1727,,5.2,5.2,,46.19,46.19,8.88269230769231
1728,,6.8,6.8,,,,
1729,,6.8,6.8,,29.1761266167461,29.1761266167461,4.29060685540384
1730,,6.2,6.2,,23.0918699902903,23.0918699902903,3.72449515972424
1731,,6.1,6.1,,,,
1732,,4.9,4.9,,22.3354125412541,22.3354125412541,4.5582474573988
1733,,3.1,3.1,,,,
1734,,2.4,2.4,,,,
1735,,3.7,3.7,,21.5754104477612,21.5754104477612,5.83119201290843
1736,,4.3,4.3,,21.12,21.12,4.91162790697674
1737,,5.1,5.1,,32.9158483935743,32.9158483935743,6.45408792030869
1738,,5.7,5.7,,32.4803131524008,32.4803131524008,5.69830055305278
1739,,5.5,5.5,,36.8544104803493,36.8544104803493,6.70080190551806
1740,,2.5,2.5,,42.3844535519126,42.3844535519126,16.953781420765
1741,,5,5,,33.1606666666667,33.1606666666667,6.63213333333333
1742,,4.7,4.7,,34.5714633027523,34.5714633027523,7.3556304899473
1743,,7.2,7.2,,30.4399020674646,30.4399020674646,4.22776417603676
1744,,4.8,4.8,,22.8075838926175,22.8075838926175,4.75157997762864
1745,,5.1,5.1,,24.3621755027422,24.3621755027422,4.77689715740044
1746,,5.1,5.1,,21.36,21.36,4.18823529411765
1747,,9.1,9.1,,,,
1748,,7.3,7.3,,37.378095623987,37.378095623987,5.12028707177905
1749,,6.5,6.5,,19.3086854460094,19.3086854460094,2.97056699169375
1750,,5.5,5.5,,33.9917258883249,33.9917258883249,6.18031379787725
1751,,5.9,5.9,,,,
1752,,6.8,6.8,,32.7248550185874,32.7248550185874,4.81247867920403
1753,,7,7,,28.9536772122879,28.9536772122879,4.13623960175542
1754,,6.1,6.1,,34.1040177580466,34.1040177580466,5.59082258328633
1755,,5.6,5.6,,31.1349730276467,31.1349730276467,5.55981661207976
1756,,5.9,5.9,,35.272297979798,35.272297979798,5.97835558979627
1757,,6.9,6.9,,31.8696015002344,31.8696015002344,4.61878282612093
1758,,4.8,4.8,,27.4023701298701,27.4023701298701,5.70882711038961
1759,,6.6,6.6,,24.3136998514116,24.3136998514116,3.68389391688054
1760,,7.6,7.6,,27.2894607843137,27.2894607843137,3.59071852425181
